Paper Title,Year,Full Paper or WIP?,Session Name,"Context: MOOCs, In-person degrees, Online degrees, K-12, Informal learning environments, Other (specify in 1-2 words in Context Notes)",Context Notes,"Subject: CS, Non-CS STEM, Non-STEM (specify in 1-2 words in Subject Notes), Unspecified",Subject Notes,"AI/ML Applications in Education? (Enter ""Y"" or ""N"")",Similarity Score,Matched Title
Work in Progress: Student Behaviors Using Feedback in a Blended Physics Undergraduate Classroom,2016,WIP,Work in Progress,,,,,,92,Work in progress: Student behaviors using feedback in a blended physics undergraduate classroom
A Crowdsourcing Approach to Collecting Tutorial Videos - Toward Personalized Learning-at-Scale,2017,WIP,Work in Progress,,,,,,91,A crowdsourcing approach to collecting tutorial videos -Toward personalized learning-at-scale
A Heuristic Method for Large-Scale Cognitive-Diagnostic Computerized Adaptive Testing,2017,WIP,Work in Progress,,,,,,89,A heuristic method for large-scale cognitive-diagnostic computerized adaptive testing
A Memory-Augmented Neural Model for Automated Grading,2017,WIP,Work in Progress,,,,,,91,A memory-Augmented neural model for automated grading
A Novel Self-Paced Model for Teaching Programming,2017,WIP,Work in Progress,,,,,,88,A novel self-paced model for teaching programming
A Probabilistic Approach for Discovering Difficult Course Topics Using Clickstream Data,2017,WIP,Work in Progress,,,,,,90,A probabilistic approach for discovering difficult course topics using clickstream data
A Statistical Framework for Predictive Model Evaluation in MOOCs,2017,WIP,Work in Progress,,,,,,92,A statistical framework for predictive model evaluation in MOOCs
A Visual Approach towards Knowledge Engineering and Understanding How Students Learn in Complex Environments,2017,Full Paper,Engineering Learning Environments,,,,,,91,A visual approach towards knowledge engineering and understanding how students learn in complex environments
Access to Massive Open Online Labs through a MOOC,2017,WIP,Work in Progress,,,,,,92,Access to massive open online labs through a MOOC
Applying and Exploring Bayesian Hypothesis Testing for Large Scale Experimentation in Online Tutoring Systems,2017,WIP,Work in Progress,,,,,,92,Applying and exploring Bayesian hypothesis testing for large scale experimentation in online tutoring systems
Authentic Science Inquiry Learning at Scale Enabled by an Interactive Biology Cloud Experimentation Lab,2017,WIP,Work in Progress,,,,,,90,Authentic science inquiry learning at scale enabled by an interactive biology cloud experimentation lab
CROWDLEARNING: Towards Collaborative Problem-Posing at Scale,2017,WIP,Work in Progress,,,,,,93,CROWDLEARNING: Towards collaborative problem-posing at scale
Characterizing ELL Students' Behavior During MOOC Videos Using Content Type,2017,WIP,Work in Progress,,,,,,85,Characterizing ELL students' behavior during mooc videos using content type
Collaboration and Teamwork on a MOOC Platform: A Toolset,2017,WIP,Work in Progress,,,,,,92,Collaboration and teamwork on a MOOC platform a toolset
Comment Ranking Diversification in Forum Discussions,2017,WIP,Work in Progress,,,,,,92,Comment ranking diversification in forum discussions
"Congruency, Adaptivity, Modularity, and Personalization: Four Experiments in Teaching Introduction to Computing",2017,WIP,Work in Progress,,,,,,94,"Congruency, adaptivity, modularity, and personalization: Four experiments in teaching introduction to computing"
Criteria for Video Engagement in a Biology MOOC,2017,WIP,Work in Progress,,,,,,94,Criteria for video engagement in a biology MOOC
Data-mining textual responses to uncover misconception patterns,2017,WIP,Work in Progress,,,,,,93,D.TRUMP: Data-mining textual responses to uncover misconception patterns
Data-Driven Feedback Generator for Online Programing Courses,2017,WIP,Work in Progress,,,,,,90,Data-driven feedback generator for online programing courses
Deep Knowledge Tracing On Programming Exercises,2017,WIP,Work in Progress,,,,,,89,Deep knowledge tracing on programming exercises
Designing Adaptive Assessments in MOOCs,2017,WIP,Work in Progress,,,,,,95,Designing adaptive assessments in MOOCs
Detecting Diligence with Online Behaviors on Intelligent Tutoring Systems,2017,Full Paper,Predicting and Explaining Learning,,,,,,92,Detecting diligence with online behaviors on intelligent tutoring systems
Do Performance Trends Suggest Wide-spread Collaborative Cheating on Asynchronous Exams?  111-120,2017,Full Paper,Integrity of Courses and Learners,,,,,,86,Do performance trends suggest wide-spread collaborative cheating on asynchronous exams?
Enabling Real-Time Adaptivity in MOOCs with a Personalized Next-Step Recommendation Framework,2017,Full Paper,Engineering Learning Environments,,,,,,92,Enabling real-Time adaptivity in MOOCs with a personalized next-step recommendation framework
Enhancing the Experience Application Program Interface (xAPI) to Improve Domain Competency Modeling for Adaptive Instruction,2017,WIP,Work in Progress,,,,,,92,Enhancing the experience application program interface (xAPI) to improve domain competency modeling for adaptive instruction
Epistemic Cognition: A Promising and Necessary Construct for Enriching Large-scale Online Learning Analysis,2017,Full Paper,Predicting and Explaining Learning,,,,,,91,Epistemic cognition: A promising and necessaryconstruct for enrichinglarge-scale online learning analysis
Experimenting Choices of Video and Text Feedback in Authentic Foreign Language Assignments at Scale,2017,WIP,Work in Progress,,,,,,91,Experimenting choices of video and text feedback in authentic foreign language assignments at scale
Factor Analysis Reveals Student Thinking using the Mechanics Reasoning Inventory,2017,WIP,Work in Progress,,,,,,91,Factor analysis reveals student thinking using the mechanics reasoning inventory
Formal Forum Triage: Towards the Strategic Selection of Responses to Student Discussion Forums,2017,WIP,Work in Progress,,,,,,91,Formal forum triage: Towards the strategic selection of responses to student discussion forums
Generating Language Activities in Real-Time for English Learners using Language Muse,2017,WIP,Work in Progress,,,,,,92,Generating language activities in real-Time for english learners using language muse
"Getting to Know English Language Learners in MOOCs: Their Motivations, Behaviors, and Outcomes",2017,WIP,Work in Progress,,,,,,92,"Getting to know english language learners in MOOCs: Their motivations, behaviors and outcomes"
Google BigQuery for Education: Framework for Parsing and Analyzing edX MOOC Data,2017,WIP,Work in Progress,,,,,,95,Google BigQuery for education: Framework for parsing and analyzing edX MOOC data
"Gradescope: A Fast, Flexible, and Fair System for Scalable Assessment of Handwritten Work",2017,Full Paper,Feedback for Improving Learning,,,,,,91,"Gradescope: A fast, flexible, and fair system for scalable assessment of handwritten work"
Humans and Machines Together: Improving Characterization of Large Scale Online Discussions through Dynamic Interrelated Post and Thread Categorization (DIPTiC),2017,WIP,Work in Progress,,,,,,92,Humans and machines together: Improving characterization of large scale online discussions through dynamic interrelated post and thread categorization (DIPTiC)
Improving Assessment on MOOCs Through Peer Identification and Aligned Incentives,2017,WIP,Work in Progress,,,,,,92,Improving assessment on MOOCs through peer identification and aligned incentives
In-Video Reuse of Discussion Threads in MOOCs,2017,WIP,Work in Progress,,,,,,91,In-video reuse of discussion threads in MOOCs
Incorporating Rich Features into Deep Knowledge Tracing,2017,WIP,Work in Progress,,,,,,91,Incorporating rich features into deep knowledge tracing
Intelligent Math Tutor: Problem-Based Approach to Create Cognizance,2017,WIP,Work in Progress,,,,,,91,Intelligent math tutor: Problem-based approach to create cognizance
Learning about Learning at Scale: Methodological Challenges and Recommendations,2017,Full Paper,Experimentation,,,,,,95,Learning about learning at scale: Methodological challenges and recommendations
Learning to Code in Localized Programming Languages,2017,Full Paper,Learn to Code,,,,,,92,Learning to code in localized programming languages
Long-Term Peer Reviewing Effort is Anti-Reciprocal,2017,WIP,Work in Progress,,,,,,90,Long-Term peer reviewing effort is anti-reciprocal
MOOC Dropout Prediction: How to Measure Accuracy?  161-164,2017,WIP,Work in Progress,,,,,,84,MOOC dropout prediction: How to measure accuracy?
MOOClets: A Framework for Dynamic Experimentation and Personalization,2017,WIP,Work in Progress,,,,,,94,MOOClets: A framework for dynamic experimentation and personalization
Mobilizing the Crowd to Create an Open Repository of Research Talks,2017,WIP,Work in Progress,,,,,,91,Mobilizing the crowd to create an open repository of research talks
Modeling MOOC Student Behavior With Two-Layer Hidden Markov Models,2017,WIP,Work in Progress,,,,,,88,Modeling MOOC student behavior with two-layer hidden markov models
Observing Personalizations in Learning: Identifying Heterogeneous Treatment Effects Using Causal Trees,2017,WIP,Work in Progress,,,,,,92,Observing personalizations in learning: Identifying heterogeneous treatment effects using causal trees
One Decision Tree is Enough to Make Customization,2017,WIP,Work in Progress,,,,,,90,One decision tree is enough to make customization
Orchestration Graphs: Enabling Rich Social Pedagogical Scenarios in MOOCs,2017,WIP,Work in Progress,,,,,,93,Orchestration graphs: Enabling rich social pedagogical scenarios in MOOCs
"Pass the Idea Please: The Relationship between Network Position, Direct Engagement, and Course Performance in MOOCs",2017,WIP,Work in Progress,,,,,,92,"Pass the idea please: The relationship between network position, direct engagement, and course performance in MOOCs"
Preventing Keystroke Based Identification in Open Data Sets,2017,Full Paper,Integrity of Courses and Learners,,,,,,90,Preventing keystroke based identification in open data sets
ProjectLens: Supporting Project-based Collaborative Learning on MOOCs,2017,WIP,Work in Progress,,,,,,96,ProjectLens: Supporting project-based collaborative learning on MOOCs
Robust Evaluation Matrix: Towards a More Principled Offline Exploration of Instructional Policies,2017,Full Paper,Engineering Learning Environments,,,,,,90,Robust evaluation matrix towards a more principled offline exploration of instructional policies
Scaling Expert Feedback: Two Case Studies,2017,Full Paper,Feedback for Improving Learning,,,,,,90,Scaling expert feedback: Two case studies
Suggesting a Log-Based Creativity Measurement for Online Programming Learning Environment,2017,WIP,Work in Progress,,,,,,91,Suggesting a log-based creativity measurement for online programming learning environment
Taking Informed Action on Student Activity in MOOCs,2017,WIP,Work in Progress,,,,,,92,Taking informed action on student activity in MOOCs
Teaching Students to Recognize and Implement Good Coding Style,2017,Full Paper,Learn to Code,,,,,,90,Teaching students to recognize and implement good coding style
"Teamscope: Scalable Team Evaluation via Automated Metric Mining for Communication, Organization, Execution, and Evolution",2017,WIP,Work in Progress,,,,,,93,"Teamscope: Scalable team evaluation via automated metric mining for communication, organization, execution, and evolution"
The Changing Patterns of MOOC Discourse,2017,WIP,Work in Progress,,,,,,92,The changing patterns of MOOC discourse
Towards Equal Opportunities in MOOCs: Affirmation Reduces Gender & Social-Class Achievement Gaps in China,2017,Full Paper,Experimentation,,,,,,92,Towards equal opportunities in MOOCs: Affirmation reduces gender & social-class achievement gaps in China
Using Student Annotated Hashtags and Emojis to Collect Nuanced Affective States,2017,WIP,Work in Progress,,,,,,90,Using student annotated hashtags and emojis to collect nuanced affective states
What are the Expectations of Disabled Learners when Participating in a MOOC?  225-228,2017,WIP,Work in Progress,,,,,,89,What are the expectations of disabled learners when participating in a MOOC?
Writing Reusable Code Feedback at Scale with Mixed-Initiative Program Synthesis,2017,Full Paper,Feedback for Improving Learning,,,,,,90,Writing reusable code feedback at scale with mixed-initiative program synthesis
(A)I Will Teach You to Play Gomoku: Exploring the Use of Game AI to Teach People,2022,WIP,Work in Progress,,,,,,100,(A)I Will Teach You to Play Gomoku: Exploring the Use of Game AI to Teach People
A Blended-Learning Program for Implementing a Rigorous Machine-Learning Curriculum in High-Schools,2022,WIP,Work in Progress,,,,,,100,A Blended-Learning Program for Implementing a Rigorous Machine-Learning Curriculum in High-Schools
A Chatbot-Server Framework for Scalable Machine Learning Education through Crowdsourced Data,2022,WIP,Work in Progress,,,,,,100,A Chatbot-Server Framework for Scalable Machine Learning Education through Crowdsourced Data
A Study about Future Prospects of JupyterHub in MOOCs,2022,WIP,Work in Progress,,,,,,100,A Study about Future Prospects of JupyterHub in MOOCs
Adding a Demographic Lens to Cluster Analysis of Participants in Entry-level Massive Open Online Courses (MOOCs),2022,WIP,Work in Progress,,,,,,100,Adding a Demographic Lens to Cluster Analysis of Participants in Entry-level Massive Open Online Courses (MOOCs)
Advancing the Democratization of Research: Citizen Science,2022,WIP,Work in Progress,,,,,,100,Advancing the Democratization of Research: Citizen Science
Amazon Alexa Skills as a Novel Modality for In-service Professional Micro-Development (WIP),2022,WIP,Work in Progress,,,,,,100,Amazon Alexa Skills as a Novel Modality for In-service Professional Micro-Development (WIP)
An Examination of Unofficial Course Reviews in a Graduate Program at Scale,2022,WIP,Work in Progress,,,,,,100,An Examination of Unofficial Course Reviews in a Graduate Program at Scale
"Analysis of the Applicability of General Scaling Laws on Course Size, Completion Rates, and Forum Activity in MOOCs",2022,WIP,Work in Progress,,,,,,100,"Analysis of the Applicability of General Scaling Laws on Course Size, Completion Rates, and Forum Activity in MOOCs"
BlockLens: Visual Analytics of Student Coding Behaviors in Block-Based Programming Environments,2022,WIP,Work in Progress,,,,,,100,BlockLens: Visual Analytics of Student Coding Behaviors in Block-Based Programming Environments
Challenges of Scaling Programming-based Behavioral Metrics,2022,WIP,Work in Progress,,,,,,100,Challenges of Scaling Programming-based Behavioral Metrics
Collaboration at Scale: Exploring Member Role Changing Patterns in Collaborative Science Problem-solving Tasks,2022,WIP,Work in Progress,,,,,,100,Collaboration at Scale: Exploring Member Role Changing Patterns in Collaborative Science Problem-solving Tasks
Collaborative Annotation: Links to Formative Assessment and Issues of Scale for Pedagogy,2022,WIP,Work in Progress,,,,,,100,Collaborative Annotation: Links to Formative Assessment and Issues of Scale for Pedagogy
Comparing MOOC Learners Engagement with Japanese Videos and Text to Speech Generated English Videos,2022,WIP,Work in Progress,,,,,,100,Comparing MOOC Learners Engagement with Japanese Videos and Text to Speech Generated English Videos
Developing Student's Global Competencies at Scale in an Affordable MOOC K12 Outreach Initiative,2022,WIP,Work in Progress,,,,,,100,Developing Student's Global Competencies at Scale in an Affordable MOOC K12 Outreach Initiative
Discrimination of Automatically Generated Questions Used as Formative Practice,2022,WIP,Work in Progress,,,,,,100,Discrimination of Automatically Generated Questions Used as Formative Practice
EdTech and Girls Education in Low- and Middle-Income Countries: Which Intervention Types Have the Greatest Impact on Learning Outcomes for Girls?  330-334,2022,WIP,Work in Progress,,,,,,97,EdTech and Girls Education in Low- and Middle-Income Countries: Which Intervention Types Have the Greatest Impact on Learning Outcomes for Girls?
Effects of Framing Professional Development as a Career Growth Opportunity on Course Completion,2022,WIP,Work in Progress,,,,,,100,Effects of Framing Professional Development as a Career Growth Opportunity on Course Completion
Exploring the Relationships between Social and Teaching Presence in Video-based Informal Learning Using Network Analysis,2022,WIP,Work in Progress,,,,,,100,Exploring the Relationships between Social and Teaching Presence in Video-based Informal Learning Using Network Analysis
How COVID-19 Affected Computer Science MOOC Learner Behavior and Achievements: A Demographic Study,2022,WIP,Work in Progress,,,,,,100,How COVID-19 Affected Computer Science MOOC Learner Behavior and Achievements: A Demographic Study
How Much and for Whom?: A Multi-Wave Study of the Impact of Self-Regulated Learning Scaffolds on MOOC Student Academic Performance,2022,WIP,Work in Progress,,,,,,100,How Much and for Whom? A Multi-Wave Study of the Impact of Self-Regulated Learning Scaffolds on MOOC Student Academic Performance
Incorporating Explainable Learning Analytics to Assist Educators with Identifying Students in Need of Attention,2022,WIP,Work in Progress,,,,,,100,Incorporating Explainable Learning Analytics to Assist Educators with Identifying Students in Need of Attention
Influential Text-Based Features in Predicting Admission Status of Online Degree Applicants,2022,WIP,Work in Progress,,,,,,100,Influential Text-Based Features in Predicting Admission Status of Online Degree Applicants
Integrating Dynamic Supports into an Equity Teaching Simulation to Promote Equity Mindsets,2022,WIP,Work in Progress,,,,,,100,Integrating Dynamic Supports into an Equity Teaching Simulation to Promote Equity Mindsets
LEDA: A Learning Analytics Based Framework to Analyze Remote Labs Interaction,2022,WIP,Work in Progress,,,,,,100,LEDA: A Learning Analytics Based Framework to Analyze Remote Labs Interaction
Large-scale Analysis of Discussion Networks in College Courses,2022,WIP,Work in Progress,,,,,,100,Large-scale Analysis of Discussion Networks in College Courses
Laugh at Your Own Pace: Basic Performance Evaluation of Language Learning Assistance by Adjustment of Video Playback Speeds Based on Laughter Detection,2022,WIP,Work in Progress,,,,,,100,Laugh at Your Own Pace: Basic Performance Evaluation of Language Learning Assistance by Adjustment of Video Playback Speeds Based on Laughter Detection
Learning Alone Yet Together: Enhancing Between-Learner Social Connectivity at Scale,2022,WIP,Work in Progress,,,,,,100,Learning Alone Yet Together: Enhancing Between-Learner Social Connectivity at Scale
Math Discourse Linguistic Components (Cohesive Cues within a Math Discussion Board Discourse),2022,WIP,Work in Progress,,,,,,100,Math Discourse Linguistic Components (Cohesive Cues within a Math Discussion Board Discourse)
Measuring Cultural Dimensions of Learning in Online Courses,2022,WIP,Work in Progress,,,,,,100,Measuring Cultural Dimensions of Learning in Online Courses
Providing Individual Student Feedback at Scale for Mathematical Disciplines,2022,WIP,Work in Progress,,,,,,100,Providing Individual Student Feedback at Scale for Mathematical Disciplines
Re-envisioning a K-12 Early Warning System with School Climate Factors,2022,WIP,Work in Progress,,,,,,100,Re-envisioning a K-12 Early Warning System with School Climate Factors
Revealing Factors Influencing Students' Perceived Fairness: A Case with a Predictive System for Math Learning,2022,WIP,Work in Progress,,,,,,100,Revealing Factors Influencing Students' Perceived Fairness: A Case with a Predictive System for Math Learning
Scaling Up Access to the Hidden Curriculum: A Design Methodology for Creating Undergraduate Mentoring Guides,2022,WIP,Work in Progress,,,,,,100,Scaling Up Access to the Hidden Curriculum: A Design Methodology for Creating Undergraduate Mentoring Guides
Seeking Exemplars in the Wild: Exploring How Students Find Design Examples to Support Personalized Learning,2022,WIP,Work in Progress,,,,,,100,Seeking Exemplars in the Wild: Exploring How Students Find Design Examples to Support Personalized Learning
Student Use of Course Reviews at Scale,2022,WIP,Work in Progress,,,,,,100,Student Use of Course Reviews at Scale
Teaching and Learning Programming with Linux using In-Browser Client-Side Web Technologies: Exploring the Key Features for Achieving Systems and Tools Scalability,2022,WIP,Work in Progress,,,,,,100,Teaching and Learning Programming with Linux using In-Browser Client-Side Web Technologies: Exploring the Key Features for Achieving Systems and Tools Scalability
The Relationship Between COVID-19 Severity and Computer Science MOOC Learner Achievement: A Preliminary Analysis,2022,WIP,Work in Progress,,,,,,100,The Relationship Between COVID-19 Severity and Computer Science MOOC Learner Achievement: A Preliminary Analysis
Towards a Teacher Application to Support Semantic Annotations of Learning Tasks in Cultural Heritage,2022,WIP,Work in Progress,,,,,,100,Towards a Teacher Application to Support Semantic Annotations of Learning Tasks in Cultural Heritage
Understanding the Relationship Between Students' Learning Outcome and Behavioral Patterns using Touch Trajectories,2022,WIP,Work in Progress,,,,,,100,Understanding the Relationship Between Students' Learning Outcome and Behavioral Patterns using Touch Trajectories
Using Chatbots to Teach Languages,2022,WIP,Work in Progress,,,,,,100,Using Chatbots to Teach Languages
Using a Planning Prompt Survey to Encourage Early Completion of Homework Assignments,2022,WIP,Work in Progress,,,,,,100,Using a Planning Prompt Survey to Encourage Early Completion of Homework Assignments
Where are the Large N Studies in Education?: Introducing a Dataset of Scientific Articles and NLP Techniques,2022,WIP,Work in Progress,,,,,,100,Where are the Large N Studies in Education? Introducing a Dataset of Scientific Articles and NLP Techniques
Replicating MOOC Predictive Models at Scale,2018,Full Paper,,,,,,,55,Evaluating educational interventions at scale
"Students, Systems, and Interactions: Synthesizing the First Four Years of Learning@Scale and Charting the Future",2018,Full Paper,,,,,,,64,Learnersourcing in Theory and Practice: Synthesizing the Literature and Charting the Future
The Potential for Scientific Outreach and Learning in Mechanical Turk Experiments,2018,Full Paper,,,,,,,52,Pilot study to estimate “difficult” area in e-learning material by physiological measurements
Toward Large-Scale Learning Design Categorizing Course Designs in Service of Supporting Learning Outcomes,2018,Full Paper,,,,,,,52,Toward Learning at Scale in Developing Countries: Lessons from the Global Learning XPRIZE Field Study
Addressing Two Problems in Deep Knowledge Tracing via Prediction-Consistent Regularization,2018,Full Paper,,,,,,,53,Automatic RNN Cell Design for Knowledge Tracing using Reinforcement Learning
The Effects of Adaptive Learning in a Massive Open Online Course on Learners’ Skill Development,2018,Full Paper,,,,,,,54,The Effect of Informing Agency in Self-Directed Online Learning Environments
QG-Net: A Data-Driven Question Generation Model for Educational Content,2018,Full Paper,,,,,,,55,Automatic Question Generation and the SmartStart Application
Towards Domain General Detection of Transactive Knowledge Building Behavior,2018,Full Paper,,,,,,,53,Towards Crowdsourcing the Identification of Knowledge Components
Docent: Transforming personal intuitions to scientific hypotheses through content learning and process training,2018,Full Paper,,,,,,,50,Understanding the Implications of the Use of Intelligent Tutoring Systems in Driver Training
Supporting Answerers with Feedback in Social Q&A,2018,Full Paper,,,,,,,54,Supporting peer instruction with evidence-based online instructional templates
Refocusing the Lens on Engagement in MOOCs,2018,Full Paper,,,,,,,68,Promoting student engagement in MOOCs
"The Relationship between Scientific Explanations and the Proficiencies of Content, Inquiry, and Writing",2018,Full Paper,,,,,,,52,"Evaluating the relationship between course structure, learner activity, and perceived value of online courses"
Classifying and Visualizing Students’ Cognitive Engagement in Course Readings,2018,Full Paper,,,,,,,53,"Using Information Visualization to Promote Students' Reflection on ""gaming the System"" in Online Learning"
Squeezing the Limeade: Policies and Workflows for Scalable Online Degrees,2018,Full Paper,,,,,,,50,Master’s at scale: Five years in a scalable online graduate degree
How Do Professors Format Exams? An Analysis of Question Variety at Scale,2018,Full Paper,,,,,,,50,How Common are Common Wrong Answers? Crowdsourcing Remediation at Scale
OARS: Exploring Instructor Analytics for Online Learning,2018,Full Paper,,,,,,,54,Learning Analytics Dashboard for Problem-based Learning
The Potential of Interdisciplinarity in MOOC Research: How Do Education and Computer Science Intersect?,2018,Full Paper,,,,,,,54,The role of social media in MOOCs: How to use social media to enhance student retention
Codemotion: Expanding the Design Space of Learner Interactions with Computer Programming Tutorial Videos,2018,Full Paper,,,,,,,50,Exploring Design Choices in Data-driven Hints for Python Programming Homework
Elicast: Embedding Interactive Exercises in Instructional Programming Screencasts,2018,Full Paper,,,,,,,54,Inferring Creativity in Visual Programming Environments
Toward CS1 at Scale: Building and Testing a MOOC-for-Credit Candidate,2018,Full Paper,,,,,,,49,Toward Effective Courseware at Scale: Investigating Automatically Generated Questions as Formative Practice
Effects of Automated Interventions in Programming Assignments: Evidence from a Field Experiment,2018,Full Paper,,,,,,,48,Detecting Contract Cheaters in Online Programming Classes with Keystroke Dynamics
The unbearable lightness of consent: Mapping MOOC providers’ response to consent,2018,Full Paper,,,,,,,47,Learning Student and content embeddings for personalized lesson sequence recommendation
How Much Randomization is Needed to Deter Collaborative Cheating on Asynchronous Exams?,2018,Full Paper,,,,,,,64,Do performance trends suggest wide-spread collaborative cheating on asynchronous exams?
How a data-driven course planning tool affects college students’ GPA: Evidence from two field experiments,2018,Full Paper,,,,,,,50,A data-driven approach for inferring student proficiency from game activity logs
Toward a Large-Scale Open Learning System for Data Management,2018,Short Paper - WIP mentioned,,,,,,,50,Toward Reshaping the Syllabus for Education at Scale
A Content Engagement Score for Online Learning Platforms,2018,Short Paper - WIP mentioned,,,,,,,60,Student Engagement in Mobile Learning via Text Message
Use expert knowledge instead of data – generating hints for Hour of Code exercises –,2018,Short Paper - WIP mentioned,,,,,,,55,Deep knowledge tracing on programming exercises
The Impact of the Peer Review Process Evolution on Learner Performance in e-Learning Environments,2018,Short Paper - WIP mentioned,,,,,,,55,The Effect of Informing Agency in Self-Directed Online Learning Environments
Virtualizing face-2-face trainings for training senior professionals: A Comparative Case Study on Financial Auditors,2018,Short Paper - Progress mentioned,,,,,,,51,Characterizing Teacher Connections in Online Social Media: A Case Study on Pinterest
Student Trust in e-Authentication,2018,Short Paper - WIP mentioned,,,,,,,51,Source effects in online education
Information Overload and Online Collaborative Learning: Insights from Agent-Based Modeling,2018,Short Paper - WIP mentioned,,,,,,,50,Informing the design of collaborative activities in MOOCs using actionable predictions
Designing a Learning Analytics Dashboard for Twitter facilitated Teaching,2018,Short Paper - WIP mentioned,,,,,,,69,Learning Analytics Dashboard for Problem-based Learning
Grading at Scale in EarSketch,2018,Short Paper - WIP mentioned,,,,,,,64,Peer-Grading at Scale with Rank Aggregation
Transformative approaches in distance online education: aligning evidence to influence the design of teaching at scale,2018,Short Paper - WIP mentioned,,,,,,,50,How Civil are Comments on TikTok's Educational Videos? Insights for Learning at Scale
Start of a Science: An Epistemological Analysis of Learning at Scale,2019,Full Paper,Broader Issues,,,,,,93,Start of a science: An epistemological analysis of learning at scale
Can a diversity statement increase diversity in MOOCs?,2019,Full Paper,Broader Issues,,,,,,100,Can a diversity statement increase diversity in MOOCs?
Multiplatform MOOC Analytics: Comparing Global and Regional Patterns in edX and Edraak,2019,Full Paper,Broader Issues,,,,,,93,Multiplatform MOOC analytics: Comparing global and regional patterns in EDX and Edraak
On the Acceptance and Usefulness of Personalized Learning Objectives in MOOCs,2019,Full Paper,Broader Issues,,,,,,94,On the acceptance and usefulness of personalized learning objectives in MOOCs
Graded Team Assignments in MOOCs - Effects of Team Composition and Further Factors on Team Dropout Rates and Performance,2019,Full Paper,Engagement,,,,,,92,Graded team assignments in MOOCs - Effects of team composition and further factors on team dropout rates and performance
How Learners Engage with In-Context Retrieval Exercises in Online Informational Videos,2019,Full Paper,Engagement,,,,,,90,How learners engage with in-context retrieval exercises in online informational videos
"Instructors Desire Student Activity, Literacy, and Video Quality Analytics to Improve Video-based Blended Courses",2019,Full Paper,Engagement,,,,,,90,"Instructors desire student activity, literacy, and video quality analytics to improve video-based blended courses"
Growth Mindset Predicts Student Achievement and Behavior in Mobile Learning,2019,Full Paper,Engagement,,,,,,91,Growth mindset predicts student achievement and behavior in mobile learning
Improv: Teaching Programming at Scale via Live Coding,2019,Full Paper,Domain Specific,,,,,,92,Improv: Teaching programming at scale via live coding
Scaffolding during Science Inquiry,2019,Full Paper,Domain Specific,,,,,,94,Scaffolding during science inquiry
Teaching UI Design at Global Scales: A Case Study of the Design of Collaborative Capstone Projects for MOOCs,2019,Full Paper,Domain Specific,,,,,,92,Teaching UI design at global scales: A case study of the design of collaborative capstone projects for MOOCs
Inequality: multi-modal equation entry on the web,2019,Full Paper,Domain Specific,,,,,,98,Inequality: Multi-modal equation entry on the web
Automatic Assessment of Complex Assignments using Topic Models,2019,Full Paper,Assessment,,,,,,92,Automatic assessment of complex assignments using topic models
Designing Digital Peer Assessment for Second Language Learning in Low Resource Learning Settings,2019,Full Paper,Assessment,,,,,,90,Designing digital peer assessment for second language learning in low resource learning settings
Mining Students Pre-instruction Beliefs for Improved Learning,2019,Full Paper,Assessment,,,,,,92,Mining students pre-instruction beliefs for improved learning
Scaling Up Writing in the Curriculum: Batch Mode Active Learning for Automated Essay Scoring,2019,Full Paper,Assessment,,,,,,90,Scaling up writing in the curriculum: Batch mode active learning for automated essay scoring
UpGrade: Sourcing Student Open-Ended Solutions to Create Scalable Learning Opportunities,2019,Full Paper,Learning Support,,,,,,90,Upgrade: Sourcing student open-ended solutions to create scalable learning opportunities
Two views of scale: Design Principles for Scaling Reach and Empowerment,2019,Full Paper,Learning Support,,,,,,94,Two views of scale: Design principles for scaling reach and empowerment
Apples to Apples: Differences in Viewer Retention When Longer Content is Chopped into Smaller Bites,2019,Full Paper,Learning Support,,,,,,91,Apples to apples: Differences in viewer retention when longer content is chopped into smaller bites
Key Phrase Extraction for Generating Educational Question-Answer Pairs,2019,Full Paper,Learning Support,,,,,,90,Key phrase extraction for generating educational question-answer pairs
Master’s at Scale: Five Years in a Scalable Online Graduate Degree,2019,Full Paper,L@S Perspectives,,,,,,91,Master’s at scale: Five years in a scalable online graduate degree
Data-Assistive Course-to-Course Articulation Using Machine Translation,2019,Full Paper,L@S Perspectives,,,,,,90,Data-assistive course-to-course articulation using machine translation
Via: Illuminating Academic Pathways at Scale,2019,Full Paper,L@S Perspectives,,,,,,89,VIA: Illuminating academic pathways at scale
Predict and Intervene: Addressing the Dropout Problem in a MOOC-based Program,2019,Full Paper,L@S Perspectives,,,,,,95,Predict and intervene: Addressing the dropout problem in a MOOC-based program
Chimeria:Grayscale MOOC: Towards Critical Self-Reflection at Scale,2019,WIP,,,,,,,93,Chimeria: Grayscale MOOC: Towards critical self-reflection at scale
Measuring Students’ Performance on Programming Tasks,2019,WIP,,,,,,,92,Measuring students’ performance on programming tasks
Informing the Design of Collaborative Activities in MOOCs using Actionable Predictions,2019,WIP,,,,,,,94,Informing the design of collaborative activities in MOOCs using actionable predictions
Measuring Difficulty of Introductory Programming Tasks,2019,WIP,,,,,,,93,Measuring difficulty of introductory programming tasks
Inquiry learning at scale: pedagogy-informed design of a platform for citizen inquiry,2019,WIP,,,,,,,99,Inquiry learning at scale: Pedagogy-informed design of a platform for citizen inquiry
