,First Author First Name,First Author Last Name,Paper Title,Year,Full Paper or WIP?,Session Name,Authors,Link_x,File Name,DOI,Original File Name,Author(s) ID,Title,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link_y,Document Type,Publication Stage,Open Access,Source,EID,Author 1 First Name,Author 1 Last Name,Author 1 ID,Author 2 First Name,Author 2 Last Name,Author 2 ID,Author 3 First Name,Author 3 Last Name,Author 3 ID,Author 4 First Name,Author 4 Last Name,Author 4 ID,Author 5 First Name,Author 5 Last Name,Author 5 ID,Author 6 First Name,Author 6 Last Name,Author 6 ID,Author 7 First Name,Author 7 Last Name,Author 7 ID,Author 8 First Name,Author 8 Last Name,Author 8 ID,Author 9 First Name,Author 9 Last Name,Author 9 ID,Author 10 First Name,Author 10 Last Name,Author 10 ID,Author 11 First Name,Author 11 Last Name,Author 11 ID,Author 12 First Name,Author 12 Last Name,Author 12 ID,Author 1 Affiliation,Author 1 Country,Author 2 Affiliation,Author 2 Country,Author 3 Affiliation,Author 3 Country,Author 4 Affiliation,Author 4 Country,Author 5 Affiliation,Author 5 Country,Author 6 Affiliation,Author 6 Country,Author 7 Affiliation,Author 7 Country,Author 8 Affiliation,Author 8 Country,Author 9 Affiliation,Author 9 Country,Author 10 Affiliation,Author 10 Country,Author 11 Affiliation,Author 11 Country,Author 12 Affiliation,Author 12 Country
43,Tina,Papathoma,Making the Production of Learning at Scale More Open and Flexible,2016,WIP,Work in Progress,"Tina Papathoma, Rebecca Ferguson, Allison Littlejohn, Angela Coe",https://dl.acm.org/doi/pdf/10.1145/2876034.2893432,2016_Making the Production of Learning at Scale More Open and Flexible.pdf,10.1145/2876034.2893432,2876034.2893432.pdf,56912388900; 7004114606; 36843894700; 7005935975,Making the production of learning at scale more open and flexible,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,273,276,3.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969939727&doi=10.1145%2f2876034.2893432&partnerID=40&md5=af7de458d5f1c9a72c54429babb410e0,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84969939727,Tina,Papathoma,56912388900,Angela,Coe,7004114606,Rebecca,Ferguson,36843894700,Allison,Littlejohn,7005935975,,,,,,,,,,,,,,,,,,,,,,,,,Fachhochschule für Technik und Wirtschaft Berlin,Germany,The Open University,United Kingdom,The Open University,United Kingdom,UCL Knowledge Lab,United Kingdom,,,,,,,,,,,,,,,,
44,Karen,Swan,Metaphors for Learning and MOOC Pedagogies,2016,WIP,Work in Progress,"Karen Swan, Scott Day, Leonard Bogle",https://dl.acm.org/doi/pdf/10.1145/2876034.2893385,2016_Metaphors for Learning and MOOC Pedagogies.pdf,10.1145/2876034.2893385,2876034.2893385.pdf,7103410052; 53363531500; 53363309700,Metaphors for learning & MOOC Pedagogies,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,125,128,3.0,11.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969931619&doi=10.1145%2f2876034.2893385&partnerID=40&md5=da8741a9d889997dd8213818863983c1,Conference paper,Final,,Scopus,2-s2.0-84969931619,Karen,Swan,7103410052,Scott,Day,53363531500,Leonard,Bogle,53363309700,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Adult and Continuing Education Hall of Fame,United States,University of Illinois Springfield,United States,University of Illinois Springfield,United States,,,,,,,,,,,,,,,,,,
45,Cynthia,Breazeal,Mobile Devices for Early Literacy Intervention and Research with Global Reach,2016,Full Paper,Global Village,"Cynthia Breazeal, Robin Morris, Stephanie Gottwald, Tinsley A. Galyean, Maryanne Wolf",https://dl.acm.org/doi/pdf/10.1145/2876034.2876046,2016_Mobile Devices for Early Literacy Intervention and Research with Global Reach.pdf,10.1145/2876034.2876046,2876034.2876046.pdf,7003691791; 35589119600; 26537481600; 6506810010; 7402497731,Mobile devices for early literacy intervention and research with global reach,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,11,20,9.0,10.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969920054&doi=10.1145%2f2876034.2876046&partnerID=40&md5=4fa3d188083ef6c5c0914ff308e21d5b,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-84969920054,Cynthia,Breazeal,7003691791,Robin,Morris,35589119600,Stephanie,Gottwald,26537481600,Tinsley,Galyean,6506810010,Maryanne,Wolf,7402497731,,,,,,,,,,,,,,,,,,,,,,Massachusetts Institute of Technology,United States,Georgia State University,United States,Tufts University,United States,MIT Media Lab,United States,Tufts University,United States,,,,,,,,,,,,,,
46,Matthew,West,Modeling Student Scheduling Preferences in a Computer-Based Testing Facility,2016,WIP,Work in Progress,"Matthew West, Craig B. Zilles",https://dl.acm.org/doi/pdf/10.1145/2876034.2893441,2016_Modeling Student Scheduling Preferences in a Computer-Based Testing Facility.pdf,10.1145/2876034.2893441,2876034.2893441.pdf,36867775200; 6602243123,Modeling student scheduling preferences in a computer-based testing facility,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,309,312,3.0,6.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970006713&doi=10.1145%2f2876034.2893441&partnerID=40&md5=f53099971c2ec10589313c361367fa69,Conference paper,Final,,Scopus,2-s2.0-84970006713,Matthew,West,36867775200,Craig,Zilles,6602243123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Illinois Urbana-Champaign,United States,University of Illinois Urbana-Champaign,United States,,,,,,,,,,,,,,,,,,,,
47,Silvia Elena,Gallagher,Observing URL Sharing Behaviour in Massive Online Open Courses,2016,WIP,Work in Progress,"Silvia Elena Gallagher, Timothy Savage",https://dl.acm.org/doi/pdf/10.1145/2876034.2893387,2016_Observing URL Sharing Behaviour in Massive Online Open Courses.pdf,10.1145/2876034.2893387,2876034.2893387.pdf,55485342400; 35491654500,Observing URL sharing behaviour in Massive Online Open Courses,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,129,132,3.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969980381&doi=10.1145%2f2876034.2893387&partnerID=40&md5=1fc929f6c04d0eaafbaba1a5d88c035c,Conference paper,Final,,Scopus,2-s2.0-84969980381,Silvia Elena,Gallagher,55485342400,Timothy,Savage,35491654500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trinity College Dublin,Ireland,Trinity College Dublin,Ireland,,,,,,,,,,,,,,,,,,,,
48,Ben U.,Gelman,Online Urbanism: Interest-based Subcultures as Drivers of Informal Learning in an Online Community,2016,Full Paper,Global Village,"Ben U. Gelman, Chris Beckley, Aditya Johri, Carlotta Domeniconi, Seungwon Yang",https://dl.acm.org/doi/pdf/10.1145/2876034.2876052,2016_Online Urbanism: Interest-based Subcultures as Drivers of Informal Learning in an Online Community.pdf,10.1145/2876034.2876052,2876034.2876052.pdf,57213016974; 56597999600; 25655003800; 6603376938; 15048968900,Online urbanism: Interest-based subcultures as drivers of informal learning in an online community,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,21,30,9.0,11.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970007066&doi=10.1145%2f2876034.2876052&partnerID=40&md5=be9ed4a0151a5e4a435316252b2605dc,Conference paper,Final,,Scopus,2-s2.0-84970007066,Ben U.,Gelman,57213016974,Chris,Beckley,56597999600,Aditya,Johri,25655003800,Carlotta,Domeniconi,6603376938,Seungwon,Yang,15048968900,,,,,,,,,,,,,,,,,,,,,,George Mason University,United States,"George Mason University, Fairfax Campus",United States,George Mason University,United States,George Mason University,United States,Louisiana State University,United States,,,,,,,,,,,,,,
49,Ruth,Cobos,Open-DLAs: An Open Dashboard for Learning Analytics,2016,WIP,Work in Progress,"Ruth Cobos, Silvia Gil, Angel Lareo, Francisco A. Vargas",https://dl.acm.org/doi/pdf/10.1145/2876034.2893430,2016_Open-DLAs: An Open Dashboard for Learning Analytics.pdf,10.1145/2876034.2893430,2876034.2893430.pdf,6507633248; 57189389417; 57189389562; 57189375383,Open-DLAs: An open dashboard for learning analytics,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,265,268,3.0,22.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969972736&doi=10.1145%2f2876034.2893430&partnerID=40&md5=eaf630d12739564dfb8d2fbe32d4d55b,Conference paper,Final,,Scopus,2-s2.0-84969972736,Ruth,Cobos,6507633248,Silvia,Gil,57189389417,Ángel,Lareo,57189389562,Francisco A.,Vargas,57189375383,,,,,,,,,,,,,,,,,,,,,,,,,Universidad Autónoma de Madrid,Spain,Universidad Autónoma de Madrid,Spain,Universidad Autónoma de Madrid,Spain,Universidad Autónoma de Madrid,Spain,,,,,,,,,,,,,,,,
50,Igor,Labutov,Optimally Discriminative Choice Sets in Discrete Choice Models: Application to Data-Driven Test Design,2016,WIP,Work in Progress,"Igor Labutov, Kelvin Luu, Hod Lipson, Christoph Studer",https://dl.acm.org/doi/pdf/10.1145/2876034.2893394,2016_Optimally Discriminative Choice Sets in Discrete Choice Models: Application to Data-Driven Test Design.pdf,10.1145/2876034.2893394,2876034.2893394.pdf,24341027000; 57189384414; 7006792691; 22036392500,Optimally discriminative choice sets in discrete choice models: Application to data-driven test design,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,149,152,3.0,0.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970024093&doi=10.1145%2f2876034.2893394&partnerID=40&md5=5eceb6e2ed69771ce85ad07993a3c3de,Conference paper,Final,,Scopus,2-s2.0-84970024093,Igor,Labutov,24341027000,Kelvin,Luu,57189384414,Hod,Lipson,7006792691,Christoph,Studer,22036392500,,,,,,,,,,,,,,,,,,,,,,,,,Carnegie Mellon University,United States,University of Washington,United States,Columbia University,United States,ETH Zürich,Switzerland,,,,,,,,,,,,,,,,
51,Kim M.,Kelly,Optimizing the Amount of Practice in an On-Line Platform,2016,WIP,Work in Progress,"Kim M. Kelly, Neil T. Heffernan",https://dl.acm.org/doi/pdf/10.1145/2876034.2893393,2016_Optimizing the Amount of Practice in an On-Line Platform.pdf,10.1145/2876034.2893393,2876034.2893393.pdf,55789657600; 14041775100,Optimizing the amount of practice in an on-line learning platform,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,145,148,3.0,2.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969924780&doi=10.1145%2f2876034.2893393&partnerID=40&md5=59e208845893b37115259855bf671630,Conference paper,Final,,Scopus,2-s2.0-84969924780,Kim M.,Kelly,55789657600,Neil T.,Heffernan,14041775100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worcester Polytechnic Institute,United States,Worcester Polytechnic Institute,United States,,,,,,,,,,,,,,,,,,,,
52,Kwamena,Appiah-Kubi,PEER Support In MOOCs: The Role Of Social Presence,2016,WIP,Work in Progress,"Kwamena Appiah-Kubi, Duncan Rowland",https://dl.acm.org/doi/pdf/10.1145/2876034.2893423,2016_PEER Support In MOOCs: The Role Of Social Presence.pdf,10.1145/2876034.2893423,2876034.2893423.pdf,56035003000; 7102182425,PEER support in MOOCs: The role of social presence,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,237,240,3.0,7.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970024830&doi=10.1145%2f2876034.2893423&partnerID=40&md5=a0ab1581c232caff96591aa9ee0024bb,Conference paper,Final,,Scopus,2-s2.0-84970024830,Kwamena,Appiah-Kubi,56035003000,Duncan,Rowland,7102182425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Lincoln,United Kingdom,University of Nottingham,United Kingdom,,,,,,,,,,,,,,,,,,,,
53,Mehdi S. M.,Sajjadi,Peer Grading in a Course on Algorithms and Data Structures: Machine Learning Algorithms do not Improve over Simple Baselines,2016,Full Paper,Automated Assessment,"Mehdi S. M. Sajjadi, Morteza Alamgir, Ulrike von Luxburg",https://dl.acm.org/doi/pdf/10.1145/2876034.2876036,2016_Peer Grading in a Course on Algorithms and Data Structures: Machine Learning Algorithms do not Improve over Simple Baselines.pdf,10.1145/2876034.2876036,2876034.2876036.pdf,57213127778; 36986771100; 17436496700,Peer grading in a course on algorithms and data structures: Machine learning algorithms do not improve over simple baselines,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,369,378,9.0,25.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970024531&doi=10.1145%2f2876034.2876036&partnerID=40&md5=14e83f7d69b808e2f76c975acef3908b,Conference paper,Final,,Scopus,2-s2.0-84970024531,Mehdi S. M.,Sajjadi,57213127778,Morteza,Alamgir,36986771100,Ulrike,Von Luxburg,17436496700,,,,,,,,,,,,,,,,,,,,,,,,,,,,DeepMind Technologies Limited,United Kingdom,Universität Hamburg,Germany,Eberhard Karls Universität Tübingen,Germany,,,,,,,,,,,,,,,,,,
54,Pushkar,Kolhe,Peer Reviewing Short Answers using Comparative Judgement,2016,WIP,Work in Progress,"Pushkar Kolhe, Michael L. Littman, Charles L. Isbell Jr.",https://dl.acm.org/doi/pdf/10.1145/2876034.2893424,2016_Peer Reviewing Short Answers using Comparative Judgement.pdf,10.1145/2876034.2893424,2876034.2893424.pdf,36463853000; 7006510438; 6602829236,Peer reviewing short answers using comparative judgement,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,241,244,3.0,7.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970016053&doi=10.1145%2f2876034.2893424&partnerID=40&md5=6f5a87a380856c7ad37c502862d70d21,Conference paper,Final,,Scopus,2-s2.0-84970016053,Pushkar,Kolhe,36463853000,Michael L.,Littman,7006510438,Charles L.,Isbell,6602829236,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Institute of Technology,United States,Brown University,United States,Georgia Institute of Technology,United States,,,,,,,,,,,,,,,,,,
55,Devendra Singh,Chaplot,Personalized Adaptive Learning using Neural Networks,2016,WIP,Work in Progress,"Devendra Singh Chaplot, Eunhee Rhim, Jihie Kim",https://dl.acm.org/doi/pdf/10.1145/2876034.2893397,2016_Personalized Adaptive Learning using Neural Networks.pdf,10.1145/2876034.2893397,2876034.2893397.pdf,56287013900; 56904320900; 57865561800,Personalized adaptive learning using neural networks,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,165,168,3.0,16.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969922892&doi=10.1145%2f2876034.2893397&partnerID=40&md5=3f7a484775631fdb1e26218db7da5de9,Conference paper,Final,,Scopus,2-s2.0-84969922892,Devendra Singh,Chaplot,56287013900,Eunhee,Rhim,56904320900,Jihie,Kim,57865561800,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meta,United States,Samsung Electronics Co. Ltd.,South Korea,Samsung Group,South Korea,,,,,,,,,,,,,,,,,,
56,Elizabeth A.,McBride,Predicting Student Learning using Log Data from Interactive Simulations on Climate Change,2016,WIP,Work in Progress,"Elizabeth A. McBride, Jonathan M. Vitale, Hannah Gogel, Mario M. Martinez, Zachary A. Pardos, Marcia C. Linn",https://dl.acm.org/doi/pdf/10.1145/2876034.2893410,2016_Predicting Student Learning using Log Data from Interactive Simulations on Climate Change.pdf,10.1145/2876034.2893410,2876034.2893410.pdf,56597705000; 55963460800; 56597890400; 57213207864; 23091281300; 7006538185,Predicting student learning using log data from interactive simulations on climate change,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,185,188,3.0,4.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970024941&doi=10.1145%2f2876034.2893410&partnerID=40&md5=4401bf40e338c50970cdcf876d5f814a,Conference paper,Final,,Scopus,2-s2.0-84970024941,Elizabeth,McBride,56597705000,Jonathon M.,Vitale,55963460800,Hannah,Gogel,56597890400,Mario,Martinez,57213207864,Zachary,Pardos,23091281300,Marcia C.,Linn,7006538185,,,,,,,,,,,,,,,,,,,SRI International,United States,School District of Philadelphia,United States,"University of California, Berkeley",United States,IPARCOS-UCM (Instituto de Física de Partículas y del Cosmos),Spain,"University of California, Berkeley",United States,"University of California, Berkeley",United States,,,,,,,,,,,,
57,Miguel,Sánchez-Santillán,Predicting Students' Performance: Incremental Interaction Classifiers,2016,WIP,Work in Progress,"Miguel Sánchez-Santillán, M. Puerto Paule-Ruíz, Rebeca Cerezo, José Carlos Núñez",https://dl.acm.org/doi/pdf/10.1145/2876034.2893418,2016_Predicting Students' Performance: Incremental Interaction Classifiers.pdf,10.1145/2876034.2893418,2876034.2893418.pdf,56119060800; 56700245500; 26649747300; 56119064400,Predicting students' performance: Incremental interaction classifiers,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,217,220,3.0,8.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970004032&doi=10.1145%2f2876034.2893418&partnerID=40&md5=8eb565957d1c078e6c294f65d5509a2c,Conference paper,Final,,Scopus,2-s2.0-84970004032,Miguel,Sanchez-Santillan,56119060800,M.,Puerto Paule-Ruiz,56700245500,Rebeca,Cerezo,26649747300,J.,Carlos Nuñez,56119064400,,,,,,,,,,,,,,,,,,,,,,,,,Universidad de Oviedo,Spain,Universidad de Oviedo,Spain,Universidad de Oviedo,Spain,Universidad de Oviedo,Spain,,,,,,,,,,,,,,,,
58,Mingyu,Feng,Predicting Students' Standardized Test Scores Using Online Homework,2016,WIP,Work in Progress,"Mingyu Feng, Jeremy Roschelle",https://dl.acm.org/doi/pdf/10.1145/2876034.2893417,2016_Predicting Students' Standardized Test Scores Using Online Homework.pdf,10.1145/2876034.2893417,2876034.2893417.pdf,13007773500; 6603548311,Predicting students' standardized test scores using online homework,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,213,216,3.0,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970046082&doi=10.1145%2f2876034.2893417&partnerID=40&md5=d7090de8e9acfdcd0847a34db0d81f2c,Conference paper,Final,,Scopus,2-s2.0-84970046082,Mingyu,Feng,13007773500,Jeremy,Roschelle,6603548311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WestEd,United States,Digital Promise,United States,,,,,,,,,,,,,,,,,,,,
59,Vitomir,Kovanovic,Profiling MOOC Course Returners: How Does Student Behavior Change Between Two Course Enrollments?  269-272,2016,WIP,Work in Progress,"Vitomir Kovanovic, Srecko Joksimovic, Dragan Gasevic, James Owers, Anne-Marie Scott, Amy Woodgate",https://dl.acm.org/doi/pdf/10.1145/2876034.2893431,2016_Profiling MOOC Course Returners: How Does Student Behavior Change Between Two Course Enrollments?  269-272.pdf,10.1145/2876034.2893431,2876034.2893431.pdf,55096902400; 57189377207; 55837206800; 57189391384; 8549413500; 56461324500,Profiling MOOC course returners: How does student behavior change between two course enrollments?,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,269,272,3.0,32.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969930956&doi=10.1145%2f2876034.2893431&partnerID=40&md5=b1b5d0e2fdaadef7e1d5cfaaef5f1f3d,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84969930956,Vitomir,Kovanović,55096902400,James,Owers,57189377207,Srećko,Joksimović,55837206800,Anne-Marie,Scott,57189391384,Dragan,Gašević,8549413500,Amy,Woodgate,56461324500,,,,,,,,,,,,,,,,,,,University of South Australia,Australia,The University of Edinburgh,United Kingdom,University of South Australia,Australia,Athabasca University,Canada,Monash University,Australia,The University of Edinburgh,United Kingdom,,,,,,,,,,,,
60,Jiye,Baek,Promoting Student Engagement in MOOCs,2016,WIP,Work in Progress,"Jiye Baek, Jesse Shore",https://dl.acm.org/doi/pdf/10.1145/2876034.2893437,2016_Promoting Student Engagement in MOOCs.pdf,10.1145/2876034.2893437,2876034.2893437.pdf,57189376585; 55603802600,Promoting student engagement in MOOCs,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,293,296,3.0,20.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969921248&doi=10.1145%2f2876034.2893437&partnerID=40&md5=5d57b5268d49ca882a6e8e3fd470e7fe,Conference paper,Final,,Scopus,2-s2.0-84969921248,Jiye,Baek,57189376585,Jesse,Shore,55603802600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korea University Business School,South Korea,Questrom School of Business,United States,,,,,,,,,,,,,,,,,,,,
61,René F.,Kizilcec,Recommending Self-Regulated Learning Strategies Does Not Improve Performance in a MOOC,2016,WIP,Work in Progress,"René F. Kizilcec, Mar Pérez-Sanagustín, Jorge J. Maldonado",https://dl.acm.org/doi/pdf/10.1145/2876034.2893378,2016_Recommending Self-Regulated Learning Strategies Does Not Improve Performance in a MOOC.pdf,10.1145/2876034.2893378,2876034.2893378.pdf,55657281000; 23393559900; 57190294959,Recommending self-regulated learning strategies does not improve performance in a MOOC,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,101,104,3.0,87.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970028909&doi=10.1145%2f2876034.2893378&partnerID=40&md5=1c9f76306c66f5b4f55eaa0da521bd49,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84970028909,René F.,Kizilcec,55657281000,Mar,Pérez-Sanagustín,23393559900,Jorge J.,Maldonado,57190294959,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornell Information Science,United States,Université Fédérale Toulouse Midi-Pyrénées,France,University of Cuenca,Ecuador,,,,,,,,,,,,,,,,,,
62,Chase,Geigle,Scaling up Online Question Answering via Similar Question Retrieval,2016,WIP,Work in Progress,"Chase Geigle, ChengXiang Zhai",https://dl.acm.org/doi/pdf/10.1145/2876034.2893428,2016_Scaling up Online Question Answering via Similar Question Retrieval.pdf,10.1145/2876034.2893428,2876034.2893428.pdf,55637377400; 35232046000,Scaling up online question answering via similar question retrieval,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,257,260,3.0,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969961888&doi=10.1145%2f2876034.2893428&partnerID=40&md5=1d004a1dc9fba04a68d7c821b12fb66b,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84969961888,Chase,Geigle,55637377400,Chengxiang,Zhai,35232046000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Illinois Urbana-Champaign,United States,University of Illinois Urbana-Champaign,United States,,,,,,,,,,,,,,,,,,,,
63,Zhuo,Wang,Structured Knowledge Tracing Models for Student Assessment on Coursera,2016,WIP,Work in Progress,"Zhuo Wang, Jile Zhu, Xiang Li, Zhiting Hu, Ming Zhang",https://dl.acm.org/doi/pdf/10.1145/2876034.2893416,2016_Structured Knowledge Tracing Models for Student Assessment on Coursera.pdf,10.1145/2876034.2893416,2876034.2893416.pdf,56912689500; 56597047000; 57191545898; 56272615700; 57193650715,Structured knowledge tracing models for student assessment on Coursera,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,209,212,3.0,28.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970003065&doi=10.1145%2f2876034.2893416&partnerID=40&md5=5d81dabfcfdb833bb10bcf58308a77f9,Conference paper,Final,,Scopus,2-s2.0-84970003065,Zhuo,Wang,56912689500,Jile,Zhu,56597047000,Xiang,Li,57191545898,Zhiting,Hu,56272615700,Ming,Zhang,57193650715,,,,,,,,,,,,,,,,,,,,,,Peking University,China,Peking University,China,Peking University,China,"University of California, San Diego",United States,Peking University,China,,,,,,,,,,,,,,
64,Tricia,Ngoon,Supporting Peer Instruction with Evidence-Based Online Instructional Templates,2016,WIP,Work in Progress,"Tricia Ngoon, Alexander Gamero-Garrido, Scott R. Klemmer",https://dl.acm.org/doi/pdf/10.1145/2876034.2893439,2016_Supporting Peer Instruction with Evidence-Based Online Instructional Templates.pdf,10.1145/2876034.2893439,2876034.2893439.pdf,56798469300; 6603250689; 57189376750,Supporting peer instruction with evidence-based online instructional templates,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,301,304,3.0,3.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970021369&doi=10.1145%2f2876034.2893439&partnerID=40&md5=880fe80b27c9f0077d886018a0b4d142,Conference paper,Final,,Scopus,2-s2.0-84970021369,Tricia J.,Ngoon,56798469300,Scott,Klemmer,6603250689,Alexander,Gamero-Garrido,57189376750,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnegie Mellon University,United States,"University of California, San Diego",United States,Northeastern University,United States,,,,,,,,,,,,,,,,,,
65,Stephen,Cummins,Supporting Scalable Data Sharing in Online Education,2016,WIP,Work in Progress,"Stephen Cummins, Alastair R. Beresford, Ian Davies, Andrew C. Rice",https://dl.acm.org/doi/pdf/10.1145/2876034.2893376,2016_Supporting Scalable Data Sharing in Online Education.pdf,10.1145/2876034.2893376,2876034.2893376.pdf,56853273800; 7003911565; 35301574800; 14036315700,Supporting scalable data sharing in online education,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,97,100,3.0,2.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970021185&doi=10.1145%2f2876034.2893376&partnerID=40&md5=2cd22b45576a3c23b152ddeeccef3b3e,Conference paper,Final,,Scopus,2-s2.0-84970021185,Stephen,Cummins,56853273800,Alastair R.,Beresford,7003911565,Ian,Davies,35301574800,Andrew,Rice,14036315700,,,,,,,,,,,,,,,,,,,,,,,,,University of Cambridge,United Kingdom,University of Cambridge,United Kingdom,University of Cambridge,United Kingdom,"GitHub, Inc.",United States,,,,,,,,,,,,,,,,
66,Dana,Sheahen,TAPS: A MOSS Extension for Detecting Software Plagiarism at Scale,2016,WIP,Work in Progress,"Dana Sheahen, David A. Joyner",https://dl.acm.org/doi/pdf/10.1145/2876034.2893435,2016_TAPS: A MOSS Extension for Detecting Software Plagiarism at Scale.pdf,10.1145/2876034.2893435,2876034.2893435.pdf,57189377884; 35183234600,TAPS: A MOSS extension for detecting software plagiarism at scale,L@S 2016 - Proceedings of the 3rd 2016 ACM Conference on Learning at Scale,,,,285,288,3.0,15.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970007077&doi=10.1145%2f2876034.2893435&partnerID=40&md5=b7e7bb7bfd90db9143b7ae3c0cff8875,Conference paper,Final,,Scopus,2-s2.0-84970007077,Dana,Sheahen,57189377884,David,Joyner,35183234600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Institute of Technology,United States,Georgia Institute of Technology,United States,,,,,,,,,,,,,,,,,,,,
